"FullName","Extension","Length","LastWriteTime"
"C:\Users\Pichau\Desktop\v1.0.34\.git\lfs\objects\f1\a2\f1a2154adb3a876d7823b5e37158a8859711acd6213db2673e34bf7e041c7931","","27074","18/10/2025 08:00:04"
"C:\Users\Pichau\Desktop\v1.0.34\.git\logs\HEAD","","7903","18/10/2025 08:08:26"
"C:\Users\Pichau\Desktop\v1.0.34\.git\logs\refs\heads\main","","158","18/10/2025 03:09:55"
"C:\Users\Pichau\Desktop\v1.0.34\.git\logs\refs\heads\feature\prehome-hub","","880","16/10/2025 11:22:12"
"C:\Users\Pichau\Desktop\v1.0.34\.git\logs\refs\heads\feature\v1.0.14-upgrades",".14-upgrades","402","16/10/2025 09:53:53"
"C:\Users\Pichau\Desktop\v1.0.34\.git\logs\refs\heads\integrate\v1.0.29",".29","1321","18/10/2025 08:08:26"
"C:\Users\Pichau\Desktop\v1.0.34\.git\logs\refs\heads\maintenance\v1.0.29",".29","4099","18/10/2025 03:21:41"
"C:\Users\Pichau\Desktop\v1.0.34\.git\logs\refs\remotes\origin\HEAD","","138","18/10/2025 03:12:56"
"C:\Users\Pichau\Desktop\v1.0.34\.git\logs\refs\remotes\origin\main","","159","18/10/2025 03:12:56"
"C:\Users\Pichau\Desktop\v1.0.34\.git\logs\refs\remotes\origin\fix\v1.0.14-auditoria",".14-auditoria","159","18/10/2025 03:12:56"
"C:\Users\Pichau\Desktop\v1.0.34\.git\logs\refs\remotes\origin\integrate\v1.0.29",".29","147","18/10/2025 03:24:19"
"C:\Users\Pichau\Desktop\v1.0.34\.git\logs\refs\remotes\origin\maintenance\v1.0.29",".29","441","18/10/2025 03:21:54"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\00\0ec2620237d94baf544f44bbec81b0823f5b7f","","3897","18/10/2025 07:43:56"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\00\4e2e807ab8cf5c65a48eb10390d12d4785f762","","430","18/10/2025 08:02:49"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\00\6596274c5dba940723c19abe632330c13e090e","","120","17/10/2025 17:23:32"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\00\99f07663f4b9d25e8aaa305095cc46ead720bc","","108","18/10/2025 07:43:56"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\00\eb7655ef9529dbc9bab5cebb2951f62fc5d4ba","","4334","16/10/2025 09:53:52"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\01\0ac7e9494da428696fb99a0f77818d65efa9ad","","1125","18/10/2025 02:46:27"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\01\283d5dbb0e82bd35c452f16d962df6412bd315","","158","18/10/2025 03:23:54"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\01\4397e6601da603be28e0d6dba7b3dda5018e77","","3105","18/10/2025 08:00:03"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\01\d5819166d1d3e5aef83a16a4dbc66946451482","","230","18/10/2025 01:49:20"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\02\33a4cc6b814b6e39a9c070a647dab2df6a2c28","","4068","18/10/2025 07:44:13"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\03\979f1cab5a2671dda4c1204a2aec77bd1d77ed","","1064","18/10/2025 02:46:26"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\03\b174fdf1901c4c8559d725ae6f8bd0245d81bf","","1002","18/10/2025 01:57:34"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\03\b8363d07a5929f799c2d4339fa34e569072277","","343","18/10/2025 08:00:03"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\04\21d7149c4afbeb9006259f6a97e6fb14c04e84","","126","18/10/2025 03:13:16"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\04\89bc4fa313a46597d218ca37c7b0da1feeab68","","88","18/10/2025 08:02:49"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\04\962db8f2b6279b2629ebd05a3082dd09b3284d","","1661","18/10/2025 03:12:55"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\04\97bd8f5b87885cc774303b7f69d75ded24d367","","51","16/10/2025 09:44:56"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\04\ae3cf0bba4c1656f77ea6c9ebc9808dc4f5f1f","","34754","16/10/2025 09:53:52"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\04\df886a0557e44d27121478c6121da4fa8a5cdf","","1338","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\05\771f82ae3d3b481c218d99dd7265fb0f58e5a7","","173","18/10/2025 01:57:34"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\05\79673a36ff5dd6810b4eec96ca1a7839facd94","","2351","18/10/2025 03:12:56"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\05\b9fd72f89f489997e6c31fdcd4d8ba59c5a368","","854","18/10/2025 02:27:08"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\06\162edc96d83a6a2513cdcfb4312f668b0ce3d9","","398","17/10/2025 15:12:58"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\06\2355b3d0d398595d9f224c0dbe2fbc837b0871","","623","16/10/2025 09:53:52"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\06\681bc784b674118a20472f029dde17caa24117","","75","18/10/2025 07:43:56"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\06\8ce856b4f7de7d53c9dce991e76a220d309850","","642","18/10/2025 03:13:17"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\07\00ab0acdde22c97e0b98f438b127e96eb7789f","","90","18/10/2025 03:23:36"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\08\2378a06c6272f737721bba0313e06dbcfa63e8","","19214","18/10/2025 02:09:17"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\08\551e0af92ba861855f5ee9def35fc6dd838f42","","91","18/10/2025 03:12:56"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\08\8bd8270baee0ba164ef3c43fb605dee8dc5e52","","53","18/10/2025 08:00:03"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\08\efe4a0450d6c487887f59f74e9df594f904b44","","2111","16/10/2025 09:53:52"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\09\5102dae306db60b28256270d189293cb34f940","","284","17/10/2025 17:23:49"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\0a\3997e80a83ccefba83e0971a8ba2f6691604ff","","556","18/10/2025 08:00:03"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\0a\45644608b058d2b290aa50002b26ed34782bf4","","90","18/10/2025 08:02:49"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\0a\7a4132354c747f010e5da8fc68236ed4404b04","","345","18/10/2025 01:48:59"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\0a\a045476742d2c5dc66f2d34f31d143a5b7d6ac","","1883","18/10/2025 03:12:56"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\0a\e5a24081b8e1e6b1f90787bc31d0ae3dc21da5","","2338","18/10/2025 07:44:13"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\0a\f349339fcc89efff5fd0d302cbabb6b9267626","","139","18/10/2025 02:09:24"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\0b\232a6dc58f7e3ba2df2be543bd93d594f6bc51","","24208","18/10/2025 02:26:10"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\0b\443a81c07c029d6b50b61f88c46d272eb496bc","","89","17/10/2025 15:12:58"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\0b\b110a7e3be6624ed5e5d622364dea0b8369326","","999","18/10/2025 07:44:13"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\0b\ef2ad4ed4fa6f0cfd7e452c8273e7938a0ac74","","52","17/10/2025 15:12:28"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\0c\34bb63b2dcf4b48a4781002195bf5ec16de14d","","53","17/10/2025 15:12:28"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\0c\7e62d497475d1d11e24c1f1bdea4ade367094a","","3221","17/10/2025 17:23:32"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\0c\aefea7b131bc9b0030efb396e31b1c7cadef68","","2385","18/10/2025 07:43:56"
"C:\Users\Pichau\Desktop\v1.0.34\.git\objects\0c\af4744d3e877c8fbcfd0fac038ba4247fbd203","","433","18/10/2025 07:43:56"
